COMENTARIO,FRECUENCIA
-,49
"Diligenciar apps y preguntas, EIN, CDL con 2 años de experiencia demostrable, MVR, IFTAS y pérdidas limpias (Si aplica).",20
"Solo para coberturas como APD, MTC  y GL.",20
"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas  (si aplica).",17
"CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",16
"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",16
"MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",14
"App diligenciada, MVR, CDL con experiencia demostrable de 2 años, pérdidas e IFTAS (Si aplica).",13
3+ años en el negocio,13
" MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",10
"MVR,CDL con dos años demostrable, IFTAS y pérdidas (Si aplica).",10
"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD (solo NV), 2+ años, AL+MTC/APD más drivers",10
Para negocios de más de 5 años se requiere min 5 años de pérdidas.,7
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",6
"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",5
"Min 5 unidades, 2+ años en el negocio",5
"Registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",5
"5+ unidades - Si tiene 2+ años, es posible enviar 1-2 unidades",4
"1+ año en el negocio, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",4
"Solo con NICO, para negocios de más de 5 años se requiere min 5 años de pérdidas.",3
Solo con NICO,3
"1+ año en el negocio, CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",2
"No ir al botadero, para negocios de más de 5 años se requiere min 5 años de pérdidas.",2
"NV solo con NICO y Canal test drive, resto de compañías 2+ años en el negocio, para negocios de más de 5 años se requiere min 5 años de pérdidas.",2
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",2
" Solo NICO MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",2
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",2
"5+ unidades NV- Si tiene 2+ años, es posible enviar 1-2 unidades, quote de one80.",1
"Solo en flotas, down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica).",1
"2+ años en el negocio + Preguntas, para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Debe tener min CDL con 2 años de experiencia demostrable, pérdidas (si aplica).",1
"3+ años en el negocio, MVR,CDL IFTAS y pérdidas",1
"Solo APD con un truck, no permite solo Pickup, MVR, CDL, Pérdidas",1
"3+ años en el negocio, CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS (Si aplica)",1
"Solo Truck+Trailer + 2 años de exp, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",1
"Ofrece solo AL con Bulldog, indicación de $16,800 down del 25% + fees que no son incluidos en el down, se pide formal solo con una carta firmada del cliente manifestando el compromiso de compra, solo para coberturas como APD, MTC  y GL.",1
"1+ año en el negocio con póliza activa, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",1
"2+ años en el negocio, llenar formulario, CDL con dos años de experiencia demostrable, MVR, pérdidas e IFTAS.",1
"CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica)",1
"Solo con NICO o +2 años en el negocio, MVR, CDL con 2 años de experiencia demostrable, pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Nos ofrecerá DUAL para NV, 2+ años en el negocio nos dará Canal siempre y cuando no esté en los condados prohibidos.",1
"NV solo NICO, resto de compañías 2+ años en el negocio + Preguntas, para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Se acepta Truck, trailer, Unico Driver (owner) y paquete AL, MTC y APD",1
Compromiso/Prueba de sacar licencia de TX ,1
"1+ año en el negocio, MVR de 5 años, CDL con 2 años de experiencia demostrable, pérdidas para cada cobertura correspondiente.",1
"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL e IFTAS (Si aplica), tendrá un sobrecargo del 10%.",1
"Solo DUAL, documentos correspondientes.",1
Acepta ir al bosque,1
" Solo con NICO, MVR, CDL con 1 año de experiencia demostrable, pérdidas (Si aplica).",1
"1+ año en el negocio, CDL demostrando 1 año cumplido.",1
"Down del 25%, precios empiezan sobre $25K, registraciones, MVR,CDL (No residencial).",1
"No ir al botadero, solo con NICO  MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",1
"Puede ir al vertedero, CDL con 2 años de experiencia demostrable, MVR, Pérdidas (Si aplica).",1
" Solo con NICO, MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",1
"registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",1
3+ años en el negocio NO REEFER,1
No MTC,1
"Preguntas Auto Hauler, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"FORM 5C, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Para NV el dueño debe tener min 30 años, experiencia en la industria de +3 años, llenar app y preguntas para UIIA,CDL con 2 años de experiencia demostrable, MVR, pérdidas e IFTAS.",1
Para AL necesita el contrato.,1
En sacos (Dry Van),1
En sacos (Dry Van) no mixer +2 años en el negocio.,1
"Si no son fertilizantes, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Si no son fertilizantes, para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
Si no son fertilizantes,1
"Si no son fertilizantes,  MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",1
"No dump, CDL con 2 años de experiencia demostrable, MVR, Pérdidas e IFTAS (Si aplica), Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Con foto de cómo la lleva, CDL demostrando dos años de experiencia, MVR, pérdidas (Si aplica) solo en lowboy, pneumatic, hopper bottom y sand box.",1
" MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica) (Lowboy o End dump).",1
"Solo Sandbox trailer, registraciones, CDL demostrando 1 o 2 años de experiencia, pérdidas",1
"Solo local, MVR, CDL con 2 años de experiencia demostrable, pérdidas (Si aplica).",1
"SIN RAMPA, CDL, MVR, Pérdidas e IFTAS (Si aplica), para negocios de más de 5 años se requiere min 5 años de pérdidas.",1
"Min 10 unidades, CDL, MVR y pérdidas.",1
